datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2022-01-01 00:00:00,2022-01-01,1,15.46,19.86,19.86,19.86,19.86,19.86,19.86,19.86,13.25,19.86,18109750,19732300,16671250,4778800.0,3714450.0,1674250.0,861300.0
2022-01-01 00:30:00,2022-01-01,2,15.46,19.84,19.84,19.84,19.84,19.84,19.84,19.84,13.25,19.84,19574000,20603350,17250450,5377700.0,3916650.0,2625450.0,1677200.0
2022-01-01 01:00:00,2022-01-01,3,15.46,19.62,19.62,19.62,19.62,19.62,19.62,19.62,13.25,19.62,20715000,20963000,17568350,5635800.0,3937450.0,3337500.0,2238250.0
2022-01-01 01:30:00,2022-01-01,4,15.46,17.6,17.6,17.6,17.6,17.6,17.6,17.6,13.25,17.6,21421600,21306050,17867750,6014100.0,3940050.0,3730850.0,2607300.0
2022-01-01 02:00:00,2022-01-01,5,15.46,17.49,17.49,17.49,17.49,17.49,17.49,17.49,13.25,17.49,21960500,21443450,17997900,6400900.0,3936450.0,4041000.0,2898850.0
2022-01-01 02:30:00,2022-01-01,6,15.46,17.7,17.7,17.7,17.7,17.7,17.7,17.7,13.25,17.7,22239800,21463050,18038500,6648850.0,3933900.0,4286100.0,3102200.0
2022-01-01 03:00:00,2022-01-01,7,15.46,16.96,16.96,16.96,16.96,16.96,16.96,16.96,13.25,16.96,22636750,21523300,18073550,6895350.0,3932600.0,4503150.0,3335750.0
2022-01-01 03:30:00,2022-01-01,8,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,10.53,16.61,23329100,21626500,18245350,7069800.0,3930250.0,4749600.0,3542000.0
2022-01-01 04:00:00,2022-01-01,9,15.46,16.6,16.6,16.6,16.6,16.6,16.6,16.6,10.53,16.6,23657000,21561500,18302450,7151700.0,3928950.0,4934100.0,3700000.0
2022-01-01 04:30:00,2022-01-01,10,15.46,16.97,16.97,16.97,16.97,16.97,16.97,16.97,10.53,16.97,23714500,21671400,18358500,7262800.0,3934550.0,5036650.0,3841600.0
2022-01-01 05:00:00,2022-01-01,11,15.46,15.0,15.0,15.0,15.93,15.93,15.93,15.93,10.53,15.93,23927150,21351600,18415300,7463800.0,3933050.0,4959850.0,3863050.0
2022-01-01 05:30:00,2022-01-01,12,15.46,15.16,15.16,15.16,15.93,15.93,15.93,15.93,9.87,15.93,23954450,21263850,18334550,7598250.0,3932000.0,4764800.0,3810600.0
2022-01-01 06:00:00,2022-01-01,13,15.46,15.13,16.61,16.61,16.61,16.61,16.61,16.61,9.87,16.61,23811050,20975350,17955200,7609550.0,3933800.0,4711100.0,3822050.0
2022-01-01 06:30:00,2022-01-01,14,15.46,13.15,16.65,16.65,16.65,16.65,16.65,16.65,9.87,16.65,23739800,21185400,17972500,7719800.0,3930850.0,4709500.0,3765350.0
2022-01-01 07:00:00,2022-01-01,15,15.46,12.99,16.66,16.66,16.66,16.66,16.66,16.66,9.87,16.66,23566850,21242250,17881200,7864500.0,3754050.0,4691350.0,3785500.0
