datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2013-01-01 00:00:00,2013-01-01,1,12.79,12.83,12.83,12.83,12.79,12.79,12.79,12.79,12.79,12.79,902000,1533500,289000,,,,
2013-01-01 00:30:00,2013-01-01,2,12.55,12.83,12.83,12.83,12.55,12.55,12.55,12.55,12.55,12.55,909500,1517000,302500,,,,
2013-01-01 01:00:00,2013-01-01,3,12.79,12.79,12.79,12.79,12.79,12.79,12.79,12.79,12.79,12.79,907500,1512500,311500,,,,
2013-01-01 01:30:00,2013-01-01,4,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,902500,1511500,311500,,,,
2013-01-01 02:00:00,2013-01-01,5,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,910500,1503000,319500,,,,
2013-01-01 02:30:00,2013-01-01,6,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,914000,1474500,323000,,,,
2013-01-01 03:00:00,2013-01-01,7,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,915500,1472500,324500,,,,
2013-01-01 03:30:00,2013-01-01,8,12.77,12.77,12.77,12.77,12.77,12.77,12.77,12.77,12.77,12.77,851000,1421500,348000,,,,
2013-01-01 04:00:00,2013-01-01,9,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,850000,1415500,343000,,,,
2013-01-01 04:30:00,2013-01-01,10,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,850000,1406000,360000,,,,
2013-01-01 05:00:00,2013-01-01,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,904500,1384000,319000,,,,
2013-01-01 05:30:00,2013-01-01,12,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,899500,1361000,333000,,,,
2013-01-01 06:00:00,2013-01-01,13,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,1007000,1219000,335000,,,,
2013-01-01 06:30:00,2013-01-01,14,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,1010500,1228500,338500,,,,
2013-01-01 07:00:00,2013-01-01,15,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,1097000,1250500,437500,,,,
2013-01-01 07:30:00,2013-01-01,16,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,7.3,12.56,1114000,1252500,411000,,,,
2013-01-01 08:00:00,2013-01-01,17,12.56,12.56,12.56,12.56,10.37,10.37,10.37,10.37,10.37,10.37,1129500,1214000,325500,,,,
2013-01-01 08:30:00,2013-01-01,18,12.95,12.95,12.95,12.95,12.55,12.55,12.55,12.55,12.55,12.55,1129000,1255000,332500,,,,
2013-01-01 09:00:00,2013-01-01,19,12.95,13.3,13.3,13.3,12.55,12.55,12.55,12.55,12.55,12.55,1179500,1291000,338500,,,,
2013-01-01 09:30:00,2013-01-01,20,12.95,13.3,13.3,13.3,12.4,12.4,12.4,12.4,12.4,12.4,1148500,1298000,318000,,,,
2013-01-01 10:00:00,2013-01-01,21,12.95,13.3,13.3,13.3,12.05,12.05,12.05,12.05,12.05,12.05,1345000,1270500,299000,,,,
2013-01-01 10:30:00,2013-01-01,22,12.95,13.3,13.3,13.3,11.55,11.55,11.55,11.55,11.55,11.55,1349000,1269500,308000,,,,
2013-01-01 11:00:00,2013-01-01,23,12.94,12.95,12.95,12.95,12.05,12.05,12.05,12.05,12.05,12.05,1371500,1268000,446000,,,,
2013-01-01 11:30:00,2013-01-01,24,12.94,12.95,12.95,12.95,10.37,10.37,10.37,10.37,10.37,10.37,1228500,1263500,411000,,,,
2013-01-01 12:00:00,2013-01-01,25,12.95,12.95,12.95,12.95,10.37,10.37,10.37,10.37,10.37,10.37,1198000,1258500,331000,,,,
2013-01-01 12:30:00,2013-01-01,26,12.95,12.95,12.95,12.95,10.37,10.37,10.37,10.37,10.37,10.37,1230000,1255500,333500,,,,
2013-01-01 13:00:00,2013-01-01,27,12.88,12.95,12.95,12.95,10.37,10.37,10.37,10.37,10.37,10.37,1237000,1257500,385000,,,,
2013-01-01 13:30:00,2013-01-01,28,12.88,12.95,12.95,12.95,12.05,12.05,12.05,12.05,12.05,12.05,1385500,1259500,385000,,,,
