datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2019-01-01 00:00:00,2019-01-01,1,8.81,12.31,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,15067850,16271150,12958800,3661500.0,2265500.0,1299100.0,1299100.0
2019-01-01 00:30:00,2019-01-01,2,8.67,12.25,8.67,8.67,8.21,8.21,8.21,8.21,8.21,8.21,15843000,16367250,13328650,4106300.0,2303300.0,1705600.0,1605600.0
2019-01-01 01:00:00,2019-01-01,3,8.66,12.3,8.66,8.66,8.39,8.39,8.39,8.39,8.39,8.39,16452150,16621000,13689550,4374250.0,2343250.0,2113600.0,1913600.0
2019-01-01 01:30:00,2019-01-01,4,8.66,12.39,8.66,8.66,7.84,7.84,7.84,7.84,7.84,7.84,16780200,16730500,13815550,4570250.0,2382250.0,2355100.0,2055100.0
2019-01-01 02:00:00,2019-01-01,5,8.58,12.25,8.44,8.44,7.84,7.84,7.84,7.84,7.84,7.84,16915550,16743750,13976400,4609000.0,2424500.0,2451100.0,2151100.0
2019-01-01 02:30:00,2019-01-01,6,8.44,12.25,8.44,8.44,7.84,7.84,7.84,7.84,7.84,7.84,17009800,16748100,14046350,4672250.0,2465750.0,2517600.0,2217600.0
2019-01-01 03:00:00,2019-01-01,7,8.95,12.5,9.02,9.02,7.8,7.8,7.8,7.8,7.8,7.8,17500750,16787150,14389350,4833000.0,2510000.0,2640600.0,2340600.0
2019-01-01 03:30:00,2019-01-01,8,8.76,12.5,9.02,9.02,7.79,7.79,7.79,7.79,7.31,7.79,17925350,16907750,14534000,5136950.0,2554950.0,2787100.0,2487100.0
2019-01-01 04:00:00,2019-01-01,9,8.19,12.46,8.3,8.3,7.68,7.68,7.68,7.68,7.29,7.68,18374300,16933550,14433000,5439400.0,2555900.0,2877100.0,2577100.0
2019-01-01 04:30:00,2019-01-01,10,8.19,12.46,8.3,8.3,7.62,7.62,7.62,7.62,6.4,7.62,18891550,17051300,14564500,5789000.0,2557000.0,2969100.0,2669100.0
