datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2017-01-01 00:00:00,2017-01-01,1,7.43,8.23,7.43,7.43,7.43,7.43,7.43,7.43,7.43,7.43,2959000,2481000,1111000,1027500.0,239000.0,,
2017-01-01 00:30:00,2017-01-01,2,7.32,8.23,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,3643500,2396500,1036500,1910000.0,339000.0,,
2017-01-01 01:00:00,2017-01-01,3,6.68,8.23,6.71,6.71,6.11,6.11,6.11,6.11,6.11,6.11,4610500,2364000,1001000,2427500.0,389000.0,,
2017-01-01 01:30:00,2017-01-01,4,6.68,8.23,7.22,7.22,6.11,6.11,6.11,6.11,6.11,6.11,5224000,2361500,975500,2775500.0,389000.0,,
2017-01-01 02:00:00,2017-01-01,5,6.69,8.23,6.87,6.87,6.11,6.11,6.11,6.11,6.11,6.11,5712500,2311500,978500,3093500.0,359000.0,,
2017-01-01 02:30:00,2017-01-01,6,6.81,8.23,6.87,6.87,6.11,6.11,6.11,6.11,6.11,6.11,5874000,2321500,957000,3273500.0,359000.0,,
2017-01-01 03:00:00,2017-01-01,7,6.48,8.23,6.87,6.87,6.05,6.05,6.05,6.05,6.05,6.05,6057500,2312500,977500,3453500.0,359000.0,,
2017-01-01 03:30:00,2017-01-01,8,6.11,8.23,6.87,6.87,6.05,6.05,6.05,6.05,6.05,6.05,6297000,2299500,985500,3683500.0,359000.0,,
2017-01-01 04:00:00,2017-01-01,9,6.05,8.23,6.87,6.87,5.94,5.94,5.94,5.94,5.94,5.94,6581000,2314000,1010000,4276500.0,409000.0,,
2017-01-01 04:30:00,2017-01-01,10,6.05,8.23,6.87,6.87,5.94,5.94,5.94,5.94,5.94,5.94,6862000,2274000,1045000,4326500.0,459000.0,,
2017-01-01 05:00:00,2017-01-01,11,5.94,8.23,6.87,6.87,5.6,5.6,5.6,5.6,5.6,5.6,6999500,2282500,1094500,4762500.0,484000.0,,
2017-01-01 05:30:00,2017-01-01,12,5.91,8.23,6.87,6.87,5.32,5.32,5.32,5.32,5.32,5.32,7509500,2310000,1099000,5236500.0,584000.0,,
2017-01-01 06:00:00,2017-01-01,13,5.6,8.23,6.82,6.82,5.34,5.34,5.34,5.34,5.34,5.34,7920000,2408500,1129500,5356500.0,609000.0,,
2017-01-01 06:30:00,2017-01-01,14,5.6,8.23,7.22,7.22,5.32,5.32,5.32,5.32,5.32,5.32,8130000,2458000,1168500,5906500.0,659000.0,,
2017-01-01 07:00:00,2017-01-01,15,5.7,8.24,7.22,7.22,5.34,5.34,5.34,5.34,5.34,5.34,8132500,2496500,1200000,6381500.0,684000.0,,
2017-01-01 07:30:00,2017-01-01,16,5.94,8.24,7.33,7.33,5.34,5.34,5.34,5.34,5.34,5.34,8588500,2528000,1227500,6531500.0,684000.0,,
2017-01-01 08:00:00,2017-01-01,17,5.85,8.44,7.28,7.28,5.01,5.01,5.01,5.01,5.01,5.01,10015000,2542000,1314000,7091000.0,709000.0,,
2017-01-01 08:30:00,2017-01-01,18,5.7,8.4,7.29,7.29,4.67,4.67,4.67,4.67,4.67,4.67,10688000,2539000,1305500,7241000.0,709000.0,,
2017-01-01 09:00:00,2017-01-01,19,5.42,9.47,6.2,6.2,4.67,4.67,4.67,4.67,4.67,4.67,11867000,2573000,1450500,7729500.0,709000.0,,
2017-01-01 09:30:00,2017-01-01,20,5.39,9.4,7.03,7.03,4.67,4.67,4.67,4.67,4.67,4.67,12703500,2626000,1428000,8139500.0,709000.0,,
2017-01-01 10:00:00,2017-01-01,21,5.03,9.71,5.7,5.7,4.67,4.67,4.67,4.67,4.67,4.67,14348500,2772500,1509500,8761000.0,709000.0,,
2017-01-01 10:30:00,2017-01-01,22,4.9,9.46,5.61,5.61,4.67,4.67,4.67,4.67,4.67,4.67,14497500,2732000,1470000,8911000.0,709000.0,,
2017-01-01 11:00:00,2017-01-01,23,4.94,9.39,5.65,5.65,4.65,4.65,4.65,4.65,4.65,4.65,15177500,2708000,1446000,8911000.0,709000.0,,
2017-01-01 11:30:00,2017-01-01,24,4.85,9.39,5.65,5.65,4.6,4.6,4.6,4.6,4.6,4.6,15192500,2637500,1425500,8911000.0,709000.0,,
2017-01-01 12:00:00,2017-01-01,25,4.72,9.71,5.66,5.66,4.47,4.47,4.47,4.47,4.47,4.47,15476500,2618000,1411000,8911000.0,709000.0,,
2017-01-01 12:30:00,2017-01-01,26,4.71,9.72,5.58,5.58,4.36,4.36,4.36,4.36,4.36,4.36,15484500,2607000,1384000,8899000.0,709000.0,,
2017-01-01 13:00:00,2017-01-01,27,4.92,9.46,5.61,5.61,4.55,4.55,4.55,4.55,4.55,4.55,15462500,2673000,1395500,8899000.0,709000.0,,
2017-01-01 13:30:00,2017-01-01,28,4.79,9.72,5.58,5.58,4.6,4.6,4.6,4.6,4.6,4.6,15539000,2673500,1425000,8974000.0,709000.0,,
2017-01-01 14:00:00,2017-01-01,29,4.97,9.37,5.61,5.61,4.64,4.64,4.64,4.64,4.64,4.64,15377000,2655500,1428000,8794000.0,709000.0,,
2017-01-01 14:30:00,2017-01-01,30,4.88,9.71,5.6,5.6,4.64,4.64,4.64,4.64,4.64,4.64,15151500,2682000,1435000,8614000.0,709000.0,,
2017-01-01 15:00:00,2017-01-01,31,5.07,9.73,5.64,5.64,4.84,4.84,4.84,4.84,4.84,4.84,14741500,2695000,1433000,8732500.0,709000.0,,
2017-01-01 15:30:00,2017-01-01,32,5.15,11.63,5.67,5.67,4.84,4.84,4.84,4.84,4.84,4.84,13826500,2703500,1431500,8064500.0,709000.0,,
2017-01-01 16:00:00,2017-01-01,33,5.29,11.64,5.77,5.77,5.03,5.03,5.03,5.03,5.03,5.03,13013000,2844500,1537500,8238000.0,709000.0,,
2017-01-01 16:30:00,2017-01-01,34,5.8,11.64,7.22,7.22,5.09,5.09,5.09,5.09,5.09,5.09,12958000,3015500,1560500,8273000.0,709000.0,,
2017-01-01 17:00:00,2017-01-01,35,6.9,11.63,7.44,7.44,5.91,5.91,5.91,5.91,5.91,5.91,11014000,2987500,1537500,7957000.0,709000.0,,
2017-01-01 17:30:00,2017-01-01,36,6.93,11.63,7.44,7.44,5.91,5.91,5.91,5.91,5.91,5.91,10882500,3054000,1550500,7846000.0,659000.0,,
2017-01-01 18:00:00,2017-01-01,37,7.1,11.63,7.52,7.52,5.94,5.94,5.94,5.94,5.94,5.94,10670000,3052000,1466500,7796000.0,609000.0,,
2017-01-01 18:30:00,2017-01-01,38,7.16,11.63,7.46,7.46,5.94,5.94,5.94,5.94,5.94,5.94,10594500,3039500,1378500,7746000.0,559000.0,,
2017-01-01 19:00:00,2017-01-01,39,7.15,11.63,7.46,7.46,5.94,5.94,5.94,5.94,5.94,5.94,10922000,3000500,1326000,8035000.0,484000.0,,
2017-01-01 19:30:00,2017-01-01,40,7.15,10.37,7.44,7.44,5.94,5.94,5.94,5.94,5.94,5.94,11267500,2968500,1317000,8385000.0,484000.0,,
2017-01-01 20:00:00,2017-01-01,41,7.07,10.37,7.42,7.42,5.94,5.94,5.94,5.94,5.94,5.94,11205500,2920500,1280500,8412000.0,484000.0,,
2017-01-01 20:30:00,2017-01-01,42,7.09,8.91,7.44,7.44,5.94,5.94,5.94,5.94,5.94,5.94,10714000,2869500,1295500,8162000.0,484000.0,,
2017-01-01 21:00:00,2017-01-01,43,6.99,8.43,7.44,7.44,5.91,5.91,5.91,5.91,5.91,5.91,11380000,2815500,1268000,8760000.0,529000.0,,
2017-01-01 21:30:00,2017-01-01,44,6.69,8.42,7.38,7.38,5.91,5.91,5.91,5.91,5.91,5.91,10687000,2720000,1280000,8097500.0,529000.0,,
2017-01-01 22:00:00,2017-01-01,45,6.85,8.42,7.35,7.35,5.91,5.91,5.91,5.91,5.91,5.91,9249500,2661000,1133500,7354500.0,479000.0,,
2017-01-01 22:30:00,2017-01-01,46,6.11,8.24,7.25,7.25,5.91,5.91,5.91,5.91,5.91,5.91,8650000,2564000,1174500,6737000.0,479000.0,,
2017-01-01 23:00:00,2017-01-01,47,6.11,8.23,7.22,7.22,5.94,5.94,5.94,5.94,5.94,5.94,8322500,2507500,1067000,5949500.0,379000.0,,
2017-01-01 23:30:00,2017-01-01,48,6.11,8.23,7.1,7.1,5.94,5.94,5.94,5.94,5.94,5.94,7610500,2444500,960500,5405500.0,329000.0,,
2017-01-02 00:00:00,2017-01-02,1,6.68,8.23,6.93,6.93,6.11,6.11,6.11,6.11,6.11,6.11,4529500,2525500,811500,2128000.0,124000.0,,
2017-01-02 00:30:00,2017-01-02,2,6.11,8.23,6.68,6.68,6.11,6.11,6.11,6.11,6.11,6.11,5346500,2420000,837500,2892000.0,124000.0,,
2017-01-02 01:00:00,2017-01-02,3,6.06,8.23,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6616500,2396000,889000,3679500.0,124000.0,,
2017-01-02 01:30:00,2017-01-02,4,5.93,8.23,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,7065500,2379500,1035000,4187000.0,164000.0,,
2017-01-02 02:00:00,2017-01-02,5,5.94,8.23,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,7687000,2368500,1082000,4294000.0,164000.0,,
2017-01-02 02:30:00,2017-01-02,6,5.94,8.23,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,7724000,2346000,1041500,4393000.0,189000.0,,
2017-01-02 03:00:00,2017-01-02,7,5.94,8.23,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,7784500,2337000,1024000,4657000.0,189000.0,,
2017-01-02 03:30:00,2017-01-02,8,5.94,8.23,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,8016500,2329500,1067000,4657000.0,189000.0,,
2017-01-02 04:00:00,2017-01-02,9,5.94,8.23,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,8271000,2349500,1083500,5100000.0,189000.0,,
2017-01-02 04:30:00,2017-01-02,10,5.91,8.23,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,8557500,2309000,1129000,5194000.0,189000.0,,
2017-01-02 05:00:00,2017-01-02,11,5.94,8.23,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,8499000,2338500,1095000,5170000.0,214000.0,,
2017-01-02 05:30:00,2017-01-02,12,5.78,8.23,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,8398500,2311500,1222000,5015000.0,239000.0,,
2017-01-02 06:00:00,2017-01-02,13,5.91,8.23,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,8223500,2437500,1181500,5364500.0,299000.0,,
2017-01-02 06:30:00,2017-01-02,14,5.94,8.23,6.1,6.1,5.9,5.9,5.9,5.9,5.9,5.9,8444500,2485500,1231500,5469500.0,324000.0,,
