datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2024-01-01 00:00:00,2024-01-01,1,12.2,15.64,15.64,15.64,12.14,11.29,11.29,11.29,11.29,11.29,18599350,14719750,12133550,5582950.0,601400.0,1078900.0,1078900.0
2024-01-01 00:30:00,2024-01-01,2,11.3,11.46,11.46,11.46,11.46,10.58,10.58,10.58,10.58,10.58,20048000,13995400,11571550,6869450.0,605150.0,1326950.0,1326950.0
2024-01-01 01:00:00,2024-01-01,3,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,20809900,13754950,10975300,7713150.0,610350.0,1533000.0,1434000.0
2024-01-01 01:30:00,2024-01-01,4,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,22012200,13757450,10859950,8717700.0,617950.0,1616950.0,1418450.0
2024-01-01 02:00:00,2024-01-01,5,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,22582550,13515350,10931250,9058350.0,622550.0,1566000.0,1366000.0
2024-01-01 02:30:00,2024-01-01,6,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,22759950,13506450,10926500,9304900.0,627850.0,1502400.0,1402400.0
2024-01-01 03:00:00,2024-01-01,7,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,23189500,13258150,11143500,9460000.0,633250.0,1303650.0,1303650.0
2024-01-01 03:30:00,2024-01-01,8,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,23484250,13128550,11183450,9558950.0,640800.0,1256850.0,1256850.0
2024-01-01 04:00:00,2024-01-01,9,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,23941050,13226150,11399350,9719700.0,644050.0,1335600.0,1335600.0
2024-01-01 04:30:00,2024-01-01,10,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,24306850,13298850,11467700,9942600.0,651400.0,1349750.0,1349750.0
2024-01-01 05:00:00,2024-01-01,11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,24503900,13313400,11308050,10228950.0,654050.0,1345500.0,1345500.0
