datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2020-01-01 00:00:00,2020-01-01,1,6.78,11.01,6.78,6.78,6.78,6.78,6.78,6.78,5.41,6.78,17030600,18224200,14612900,3530350.0,2354700.0,913800.0,783800.0
2020-01-01 00:30:00,2020-01-01,2,6.64,10.36,6.72,6.72,6.72,6.72,6.72,6.72,5.16,6.72,17944550,18188300,14600550,4241700.0,2355050.0,1096300.0,921300.0
2020-01-01 01:00:00,2020-01-01,3,6.53,10.36,6.53,6.53,6.53,6.53,6.53,6.53,5.16,6.53,19106350,18205200,14706000,4602150.0,2345200.0,1498800.0,1223800.0
2020-01-01 01:30:00,2020-01-01,4,6.53,9.34,6.53,6.53,6.53,6.53,6.53,6.53,5.16,6.53,19604000,18372650,14890500,4886350.0,2318050.0,1754800.0,1379800.0
2020-01-01 02:00:00,2020-01-01,5,6.92,9.34,6.92,6.92,6.92,6.92,6.92,6.92,5.16,6.92,19956600,18536600,15275850,5265350.0,2338050.0,1923800.0,1448800.0
2020-01-01 02:30:00,2020-01-01,6,6.8,9.34,6.92,6.92,6.92,6.92,6.92,6.92,5.16,6.92,20667350,18555250,15437300,5803850.0,2333000.0,2036300.0,1561300.0
2020-01-01 03:00:00,2020-01-01,7,6.33,9.34,6.42,6.42,6.42,6.42,6.42,6.42,5.16,6.42,21395500,18465100,15166500,6370600.0,2324900.0,2144300.0,1669300.0
2020-01-01 03:30:00,2020-01-01,8,6.33,9.34,6.33,6.33,6.33,6.33,6.33,6.33,5.16,6.33,21567150,18467050,15277450,6456400.0,2350700.0,2214300.0,1739300.0
2020-01-01 04:00:00,2020-01-01,9,6.16,9.34,6.3,6.3,6.3,6.3,6.3,6.3,5.16,6.3,21801500,18405700,15234300,6595900.0,2352700.0,2199300.0,1574300.0
2020-01-01 04:30:00,2020-01-01,10,5.98,9.34,6.16,6.16,5.99,5.99,5.99,5.99,5.16,5.99,21948800,18333950,15242700,6717550.0,2378350.0,2254800.0,1629800.0
2020-01-01 05:00:00,2020-01-01,11,6.03,9.34,6.3,6.3,6.03,6.03,6.03,6.03,5.16,6.03,21886150,18599150,15447750,6713400.0,2368200.0,2313800.0,1688800.0
2020-01-01 05:30:00,2020-01-01,12,5.96,9.34,6.3,6.3,5.28,5.28,5.28,5.28,5.16,5.28,21974400,18522050,15291250,6974100.0,2428600.0,2253800.0,1628800.0
2020-01-01 06:00:00,2020-01-01,13,6.23,10.09,6.38,6.38,6.23,6.23,6.23,6.23,5.16,6.23,21466550,18472950,15080800,6895000.0,2212300.0,2204300.0,1589300.0
2020-01-01 06:30:00,2020-01-01,14,6.29,10.09,6.46,6.46,6.46,6.46,6.46,6.46,5.16,6.46,21397200,18422950,14893800,6934250.0,2022050.0,2190000.0,1600000.0
2020-01-01 07:00:00,2020-01-01,15,6.46,9.34,6.59,6.59,6.59,6.59,6.59,6.59,5.16,6.59,21909100,18412750,14662550,7589950.0,1834250.0,2221900.0,1631900.0
2020-01-01 07:30:00,2020-01-01,16,6.46,11.25,6.53,6.53,6.53,6.53,6.53,6.53,5.16,6.53,22710200,18567100,14625800,8054250.0,1603500.0,2287550.0,1697550.0
2020-01-01 08:00:00,2020-01-01,17,6.12,9.29,6.45,6.45,6.43,6.43,6.43,6.43,4.71,6.43,23488850,18002100,14638900,8077950.0,1354450.0,2037400.0,1662400.0
2020-01-01 08:30:00,2020-01-01,18,6.03,9.02,6.45,6.45,5.83,5.83,5.83,5.83,5.16,5.83,24257700,17862200,14578850,8148500.0,1137950.0,1977400.0,1627400.0
2020-01-01 09:00:00,2020-01-01,19,5.16,8.71,6.65,6.65,4.88,4.88,4.88,4.88,0.01,4.88,25783150,17453800,14858550,9147950.0,1079400.0,1952400.0,1602400.0
2020-01-01 09:30:00,2020-01-01,20,5.16,6.4,6.4,6.4,4.88,4.88,4.88,4.88,0.01,4.88,26596450,17148200,14782400,9695350.0,1006500.0,2086400.0,1736400.0
2020-01-01 10:00:00,2020-01-01,21,4.72,5.46,5.46,5.46,4.6,4.6,4.6,4.6,4.6,4.6,27982950,17088300,14685150,10925250.0,915800.0,2247900.0,1897900.0
2020-01-01 10:30:00,2020-01-01,22,4.33,5.0,5.0,5.0,4.1,4.1,4.1,4.1,0.01,4.1,28642000,16809550,14760450,11110200.0,882150.0,2227900.0,1802900.0
2020-01-01 11:00:00,2020-01-01,23,4.28,4.8,4.8,4.8,3.9,3.9,3.9,3.9,0.01,3.9,29387800,16757850,14816950,11741150.0,877100.0,2198350.0,1748350.0
2020-01-01 11:30:00,2020-01-01,24,4.26,4.8,4.8,4.8,3.75,3.75,3.75,3.75,0.01,3.75,30214100,16650250,14816000,12396150.0,932600.0,2198350.0,1748350.0
2020-01-01 12:00:00,2020-01-01,25,4.12,4.8,4.8,4.8,3.75,3.75,3.75,3.75,0.01,3.75,30433250,16571300,14773250,12499650.0,938100.0,2197850.0,1747850.0
2020-01-01 12:30:00,2020-01-01,26,4.06,4.8,4.8,4.8,3.8,3.8,3.8,3.8,0.01,3.8,30594750,16528000,14705200,12523400.0,937850.0,2197350.0,1747350.0
2020-01-01 13:00:00,2020-01-01,27,4.12,4.8,4.8,4.8,3.9,3.9,3.9,3.9,0.01,3.9,30502400,16542050,14672550,12519950.0,937900.0,2206850.0,1756850.0
2020-01-01 13:30:00,2020-01-01,28,4.29,4.8,4.8,4.8,4.48,4.48,4.48,4.48,0.01,4.48,30021950,16527450,14631700,12352750.0,937700.0,2121850.0,1746850.0
2020-01-01 14:00:00,2020-01-01,29,4.29,5.0,5.0,5.0,4.11,4.11,4.11,4.11,0.01,4.11,29495500,16160500,14364500,12064750.0,977200.0,2025350.0,1725350.0
2020-01-01 14:30:00,2020-01-01,30,4.33,6.04,5.0,5.0,4.54,4.54,4.54,4.54,0.01,4.54,28099600,16240500,14340250,10918500.0,1056450.0,1996350.0,1696350.0
2020-01-01 15:00:00,2020-01-01,31,4.6,8.93,5.0,5.0,4.6,4.6,4.6,4.6,0.01,4.6,26819500,16395750,14550200,9257450.0,1107600.0,1885350.0,1585350.0
2020-01-01 15:30:00,2020-01-01,32,5.0,9.14,5.93,5.93,4.6,4.6,4.6,4.6,0.01,4.6,25666550,16668100,14675050,8389650.0,1221800.0,1865350.0,1565350.0
2020-01-01 16:00:00,2020-01-01,33,5.83,9.34,6.48,6.48,5.89,5.89,5.89,5.89,5.16,5.89,24906850,17203850,14697400,8414500.0,1312250.0,1817950.0,1517950.0
