datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2012-01-01 00:00:00,2012-01-01,1,11.28,11.67,11.67,11.67,11.28,11.28,11.28,11.28,11.28,11.28,558500,859000,293000,,,,
2012-01-01 00:30:00,2012-01-01,2,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,559000,848000,296500,,,,
2012-01-01 01:00:00,2012-01-01,3,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,559500,839000,298000,,,,
2012-01-01 01:30:00,2012-01-01,4,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,559500,833000,300000,,,,
2012-01-01 02:00:00,2012-01-01,5,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,560500,827000,301500,,,,
2012-01-01 02:30:00,2012-01-01,6,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,560000,825000,301500,,,,
2012-01-01 03:00:00,2012-01-01,7,10.82,10.97,10.97,10.97,10.82,10.82,10.82,10.82,10.82,10.82,561500,823000,302000,,,,
2012-01-01 03:30:00,2012-01-01,8,10.82,10.97,10.97,10.97,10.82,10.82,10.82,10.82,10.82,10.82,561500,823000,302000,,,,
2012-01-01 04:00:00,2012-01-01,9,10.82,10.97,10.97,10.97,10.82,10.82,10.82,10.82,10.82,10.82,561000,824500,299500,,,,
2012-01-01 04:30:00,2012-01-01,10,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,548500,825000,287500,,,,
2012-01-01 05:00:00,2012-01-01,11,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,527000,834500,274500,,,,
2012-01-01 05:30:00,2012-01-01,12,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,540000,842500,270500,,,,
2012-01-01 06:00:00,2012-01-01,13,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,542000,858500,266000,,,,
2012-01-01 06:30:00,2012-01-01,14,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,542500,865000,266500,,,,
2012-01-01 07:00:00,2012-01-01,15,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,546500,846000,278000,,,,
2012-01-01 07:30:00,2012-01-01,16,10.97,10.97,10.97,10.97,10.82,10.82,10.82,10.82,10.82,10.82,556000,870500,291500,,,,
2012-01-01 08:00:00,2012-01-01,17,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,542500,888000,319500,,,,
2012-01-01 08:30:00,2012-01-01,18,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,602000,920500,369500,,,,
2012-01-01 09:00:00,2012-01-01,19,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,658500,944000,391500,,,,
2012-01-01 09:30:00,2012-01-01,20,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,658500,948000,384500,,,,
2012-01-01 10:00:00,2012-01-01,21,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,645500,959000,372000,,,,
2012-01-01 10:30:00,2012-01-01,22,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,642000,962000,368000,,,,
2012-01-01 11:00:00,2012-01-01,23,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,636500,953500,362500,,,,
2012-01-01 11:30:00,2012-01-01,24,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,637500,952000,363500,,,,
2012-01-01 12:00:00,2012-01-01,25,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,642000,954500,368000,,,,
2012-01-01 12:30:00,2012-01-01,26,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,642500,954000,369000,,,,
2012-01-01 13:00:00,2012-01-01,27,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,641000,945500,367000,,,,
2012-01-01 13:30:00,2012-01-01,28,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,639500,939500,366000,,,,
2012-01-01 14:00:00,2012-01-01,29,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,639500,888000,365000,,,,
2012-01-01 14:30:00,2012-01-01,30,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,640000,887500,365500,,,,
2012-01-01 15:00:00,2012-01-01,31,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,692000,824500,368000,,,,
2012-01-01 15:30:00,2012-01-01,32,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,690000,850000,366000,,,,
2012-01-01 16:00:00,2012-01-01,33,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,737500,859000,364000,,,,
2012-01-01 16:30:00,2012-01-01,34,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,732500,864000,360500,,,,
2012-01-01 17:00:00,2012-01-01,35,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,730000,916500,357500,,,,
2012-01-01 17:30:00,2012-01-01,36,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,722000,917000,353000,,,,
2012-01-01 18:00:00,2012-01-01,37,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,676000,913000,357000,,,,
2012-01-01 18:30:00,2012-01-01,38,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,678500,908000,358000,,,,
2012-01-01 19:00:00,2012-01-01,39,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,658000,951500,364500,,,,
2012-01-01 19:30:00,2012-01-01,40,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,657500,947500,369000,,,,
2012-01-01 20:00:00,2012-01-01,41,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,658500,992000,381000,,,,
2012-01-01 20:30:00,2012-01-01,42,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,656500,991000,385000,,,,
2012-01-01 21:00:00,2012-01-01,43,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,616000,926500,380500,,,,
2012-01-01 21:30:00,2012-01-01,44,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,614000,919000,384000,,,,
2012-01-01 22:00:00,2012-01-01,45,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,550000,881000,313500,,,,
2012-01-01 22:30:00,2012-01-01,46,11.28,11.67,11.67,11.67,11.28,11.28,11.28,11.28,11.28,11.28,533000,894000,286500,,,,
2012-01-01 23:00:00,2012-01-01,47,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,533000,877500,286500,,,,
2012-01-01 23:30:00,2012-01-01,48,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,533500,867000,287000,,,,
2012-01-02 00:00:00,2012-01-02,1,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,500500,861500,289500,,,,
2012-01-02 00:30:00,2012-01-02,2,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,503000,847500,292000,,,,
2012-01-02 01:00:00,2012-01-02,3,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,504500,840000,293500,,,,
2012-01-02 01:30:00,2012-01-02,4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,499500,833500,294500,,,,
2012-01-02 02:00:00,2012-01-02,5,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,500000,829000,299000,,,,
2012-01-02 02:30:00,2012-01-02,6,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,498500,824500,297000,,,,
2012-01-02 03:00:00,2012-01-02,7,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,500500,824500,298000,,,,
2012-01-02 03:30:00,2012-01-02,8,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,500500,822500,293000,,,,
2012-01-02 04:00:00,2012-01-02,9,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,504000,820500,291500,,,,
2012-01-02 04:30:00,2012-01-02,10,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,503500,819500,291000,,,,
2012-01-02 05:00:00,2012-01-02,11,10.97,11.35,11.35,11.35,9.06,9.06,9.06,9.06,9.06,9.06,528500,832000,292000,,,,
2012-01-02 05:30:00,2012-01-02,12,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,552500,841000,289500,,,,
2012-01-02 06:00:00,2012-01-02,13,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,552500,862000,290000,,,,
2012-01-02 06:30:00,2012-01-02,14,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,552500,868000,290500,,,,
2012-01-02 07:00:00,2012-01-02,15,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,554500,794000,293000,,,,
2012-01-02 07:30:00,2012-01-02,16,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,572500,833000,311000,,,,
2012-01-02 08:00:00,2012-01-02,17,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,601500,928000,344000,,,,
2012-01-02 08:30:00,2012-01-02,18,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,644000,933500,389500,,,,
2012-01-02 09:00:00,2012-01-02,19,10.47,10.47,10.47,10.47,10.04,10.04,10.04,10.04,10.04,10.04,664000,952000,396500,,,,
2012-01-02 09:30:00,2012-01-02,20,10.47,10.47,10.47,10.47,9.96,9.96,9.96,9.96,9.96,9.96,643000,971500,375000,,,,
2012-01-02 10:00:00,2012-01-02,21,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,618500,989000,357500,,,,
2012-01-02 10:30:00,2012-01-02,22,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,625000,990000,364000,,,,
2012-01-02 11:00:00,2012-01-02,23,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,629000,989500,361500,,,,
2012-01-02 11:30:00,2012-01-02,24,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,630500,985000,362000,,,,
2012-01-02 12:00:00,2012-01-02,25,10.71,10.84,10.84,10.84,10.71,10.71,10.71,10.71,10.71,10.71,622500,981500,352500,,,,
2012-01-02 12:30:00,2012-01-02,26,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,622500,981000,352500,,,,
2012-01-02 13:00:00,2012-01-02,27,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,620000,973000,349500,,,,
2012-01-02 13:30:00,2012-01-02,28,10.71,10.97,10.97,10.97,10.7,10.7,10.7,10.7,10.7,10.7,619500,962500,348500,,,,
2012-01-02 14:00:00,2012-01-02,29,10.47,10.97,10.97,10.97,9.06,9.06,9.06,9.06,9.06,9.06,619000,907000,333000,,,,
2012-01-02 14:30:00,2012-01-02,30,10.47,10.97,10.97,10.97,9.06,9.06,9.06,9.06,9.06,9.06,618500,906000,332500,,,,
2012-01-02 15:00:00,2012-01-02,31,10.47,10.47,10.47,10.47,9.06,9.06,9.06,9.06,9.06,9.06,670500,847000,337000,,,,
2012-01-02 15:30:00,2012-01-02,32,10.71,10.97,10.97,10.97,9.06,9.06,9.06,9.06,9.06,9.06,670500,863000,337500,,,,
2012-01-02 16:00:00,2012-01-02,33,10.71,10.97,10.97,10.97,10.71,10.71,10.71,10.71,10.71,10.71,716000,886500,345000,,,,
2012-01-02 16:30:00,2012-01-02,34,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,711500,893500,340500,,,,
2012-01-02 17:00:00,2012-01-02,35,11.68,12.0,12.0,12.0,11.68,11.68,11.68,11.68,11.68,11.68,710000,946000,346500,,,,
2012-01-02 17:30:00,2012-01-02,36,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,701500,943500,337500,,,,
2012-01-02 18:00:00,2012-01-02,37,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,637000,937000,332500,,,,
2012-01-02 18:30:00,2012-01-02,38,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,641000,930000,337000,,,,
2012-01-02 19:00:00,2012-01-02,39,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,613500,974000,349500,,,,
2012-01-02 19:30:00,2012-01-02,40,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,622000,967000,358000,,,,
2012-01-02 20:00:00,2012-01-02,41,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,640500,1007000,378000,,,,
2012-01-02 20:30:00,2012-01-02,42,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,646500,994000,388500,,,,
2012-01-02 21:00:00,2012-01-02,43,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,658000,934500,405500,,,,
2012-01-02 21:30:00,2012-01-02,44,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,659500,918000,407000,,,,
2012-01-02 22:00:00,2012-01-02,45,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,607000,883000,358000,,,,
2012-01-02 22:30:00,2012-01-02,46,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,581500,898000,324500,,,,
2012-01-02 23:00:00,2012-01-02,47,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,590500,878500,333500,,,,
2012-01-02 23:30:00,2012-01-02,48,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,10.71,598000,864500,341500,,,,
2012-01-03 00:00:00,2012-01-03,1,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,563500,853000,362500,,,,
2012-01-03 00:30:00,2012-01-03,2,10.57,10.47,10.47,10.47,10.57,10.57,10.57,10.57,10.57,10.57,573500,839500,372500,,,,
2012-01-03 01:00:00,2012-01-03,3,10.57,10.47,10.47,10.47,10.57,10.57,10.57,10.57,10.57,10.57,572500,831000,376500,,,,
2012-01-03 01:30:00,2012-01-03,4,10.57,10.47,10.47,10.47,10.57,10.57,10.57,10.57,10.57,10.57,572500,825500,376500,,,,
2012-01-03 02:00:00,2012-01-03,5,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,572500,822500,376500,,,,
2012-01-03 02:30:00,2012-01-03,6,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,571500,819500,375500,,,,
2012-01-03 03:00:00,2012-01-03,7,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,573000,816500,377000,,,,
