datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2016-01-01 00:00:00,2016-01-01,1,7.7,9.11,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,2317500,1599500,736000,669500.0,0.0,,
2016-01-01 00:30:00,2016-01-01,2,7.51,9.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,2889500,1571000,759000,1460000.0,0.0,,
2016-01-01 01:00:00,2016-01-01,3,7.84,9.12,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,3634000,1554500,719500,1860000.0,0.0,,
2016-01-01 01:30:00,2016-01-01,4,7.84,9.12,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,4165000,1532000,692500,2328000.0,0.0,,
2016-01-01 02:00:00,2016-01-01,5,7.51,9.12,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,4749500,1507500,636000,2783500.0,0.0,,
2016-01-01 02:30:00,2016-01-01,6,7.51,9.12,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,5218500,1497500,648000,2951500.0,0.0,,
2016-01-01 03:00:00,2016-01-01,7,7.51,9.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,5223500,1495000,653500,2951500.0,0.0,,
2016-01-01 03:30:00,2016-01-01,8,7.51,9.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,5227000,1492500,656500,2951500.0,0.0,,
2016-01-01 04:00:00,2016-01-01,9,7.51,9.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,5193000,1473000,606000,2951500.0,0.0,,
2016-01-01 04:30:00,2016-01-01,10,7.51,9.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,5208000,1480000,625000,2951500.0,0.0,,
2016-01-01 05:00:00,2016-01-01,11,6.67,9.12,6.76,6.76,6.44,6.44,6.44,6.44,6.44,6.44,5234000,1512000,609500,2951500.0,0.0,,
2016-01-01 05:30:00,2016-01-01,12,6.44,9.12,7.5,7.5,6.43,6.43,6.43,6.43,6.43,6.43,5489000,1518000,680500,3051500.0,0.0,,
2016-01-01 06:00:00,2016-01-01,13,6.67,9.15,7.84,7.84,6.43,6.43,6.43,6.43,6.43,6.43,5379000,1540500,745500,2814000.0,0.0,,
2016-01-01 06:30:00,2016-01-01,14,6.67,9.15,7.84,7.84,6.43,6.43,6.43,6.43,6.43,6.43,5569000,1565000,784000,2964000.0,50000.0,,
2016-01-01 07:00:00,2016-01-01,15,6.81,9.07,7.02,7.02,6.43,6.43,6.43,6.43,6.43,6.43,5043000,1577500,791500,3064000.0,50000.0,,
