datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2018-01-01 00:00:00,2018-01-01,1,8.49,11.24,8.38,8.38,10.0,10.0,10.0,10.0,6.03,10.0,6015000,6455500,3138000,2857000.0,596500.0,349500.0,349500.0
2018-01-01 00:30:00,2018-01-01,2,8.37,11.26,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,6906000,6355000,3171500,3713500.0,596500.0,349500.0,349500.0
2018-01-01 01:00:00,2018-01-01,3,8.48,11.28,8.38,8.38,8.38,8.38,8.38,8.38,6.03,8.38,7337500,6272500,3229000,4295000.0,596500.0,349500.0,349500.0
2018-01-01 01:30:00,2018-01-01,4,8.37,11.2,8.37,8.37,8.37,8.37,8.37,8.37,6.02,8.37,7771500,6144500,3294000,4663500.0,596500.0,349500.0,349500.0
2018-01-01 02:00:00,2018-01-01,5,8.36,10.0,8.27,8.27,8.27,8.27,8.27,8.27,6.02,8.27,8343500,6023500,3342000,5124500.0,596500.0,349500.0,349500.0
2018-01-01 02:30:00,2018-01-01,6,8.31,9.72,8.31,8.31,8.31,8.31,8.31,8.31,6.02,8.31,8823000,5962500,3374500,5573000.0,596500.0,349500.0,349500.0
2018-01-01 03:00:00,2018-01-01,7,8.37,9.72,8.31,8.31,8.31,8.31,8.31,8.31,6.02,8.31,9650000,6083000,3392500,6260500.0,596500.0,349500.0,349500.0
2018-01-01 03:30:00,2018-01-01,8,8.21,9.71,8.21,8.21,8.21,8.21,8.21,8.21,5.98,8.21,9759000,5944000,3406000,6358500.0,596500.0,349500.0,349500.0
2018-01-01 04:00:00,2018-01-01,9,8.29,9.72,8.29,8.29,8.29,8.29,8.29,8.29,5.96,8.29,10020000,5886500,3420500,6420000.0,596500.0,349500.0,349500.0
2018-01-01 04:30:00,2018-01-01,10,8.22,9.71,8.22,8.22,8.22,8.22,8.22,8.22,5.37,8.22,10053000,5755500,3429000,6445500.0,596500.0,349500.0,349500.0
2018-01-01 05:00:00,2018-01-01,11,8.27,10.0,8.27,8.27,8.27,8.27,8.27,8.27,5.37,8.27,10258000,5869000,3506000,6595000.0,685000.0,438000.0,438000.0
2018-01-01 05:30:00,2018-01-01,12,8.27,11.2,8.27,8.27,8.27,8.27,8.27,8.27,5.37,8.27,10470500,6011000,3569500,6788500.0,782000.0,535000.0,535000.0
2018-01-01 06:00:00,2018-01-01,13,8.2,11.09,8.2,8.2,8.2,8.2,8.2,8.2,5.37,8.2,10417000,6113000,3636500,6908500.0,782000.0,535000.0,535000.0
2018-01-01 06:30:00,2018-01-01,14,8.38,11.1,8.38,8.38,8.38,8.38,8.38,8.38,5.57,8.38,10559500,6281000,3612500,7052000.0,782000.0,535000.0,535000.0
2018-01-01 07:00:00,2018-01-01,15,8.27,10.66,8.27,8.27,8.27,8.27,8.27,8.27,6.02,8.27,10598000,6395000,3485500,7344500.0,782000.0,519000.0,519000.0
2018-01-01 07:30:00,2018-01-01,16,8.49,10.66,8.49,8.49,10.0,10.0,10.0,10.0,6.02,10.0,10977500,6642500,3711000,7606500.0,879000.0,627500.0,627500.0
2018-01-01 08:00:00,2018-01-01,17,8.38,9.6,8.38,8.38,8.38,8.38,8.38,8.38,6.02,8.38,12211000,6630000,3767000,7822500.0,879000.0,632000.0,632000.0
2018-01-01 08:30:00,2018-01-01,18,8.35,9.58,8.35,8.35,8.35,8.35,8.35,8.35,7.26,8.35,12363500,6704000,3819000,7927500.0,879000.0,632000.0,632000.0
2018-01-01 09:00:00,2018-01-01,19,8.38,13.26,8.38,8.38,8.38,8.38,8.38,8.38,7.26,8.38,13688000,6637000,3916000,8061000.0,879000.0,623000.0,623000.0
2018-01-01 09:30:00,2018-01-01,20,8.29,13.26,8.37,8.37,8.37,8.37,8.37,8.37,5.86,8.37,14203000,6576000,3982500,8386000.0,879000.0,590000.0,590000.0
2018-01-01 10:00:00,2018-01-01,21,8.21,13.26,8.35,8.35,8.35,8.35,8.35,8.35,5.31,8.35,15072000,6444500,4161500,9322000.0,879000.0,560000.0,560000.0
2018-01-01 10:30:00,2018-01-01,22,7.98,13.26,8.15,8.15,8.15,8.15,8.15,8.15,5.31,8.15,15328000,6365500,4211000,9502000.0,879000.0,552500.0,552500.0
2018-01-01 11:00:00,2018-01-01,23,6.62,13.26,6.62,6.62,6.62,6.62,6.62,6.62,5.16,6.62,15631000,6288000,4032000,9754500.0,879000.0,552500.0,552500.0
2018-01-01 11:30:00,2018-01-01,24,6.32,13.26,6.51,6.51,6.51,6.51,6.51,6.51,5.16,6.51,15757000,6224500,4046500,9754500.0,879000.0,546500.0,546500.0
2018-01-01 12:00:00,2018-01-01,25,6.32,13.26,6.51,6.51,6.51,6.51,6.51,6.51,5.16,6.51,15909000,6169500,4040500,9930500.0,880000.0,532500.0,532500.0
2018-01-01 12:30:00,2018-01-01,26,6.26,13.26,6.32,6.32,6.32,6.32,6.32,6.32,5.16,6.32,16104500,6193500,4038500,10072500.0,885500.0,532500.0,532500.0
