datetime,Date,PeriodID,System Price Yen/kWh,Hokkaido Yen/kWh,Tohoku Yen/kWh,Tokyo Yen/kWh,Chuubu Yen/kWh,Hokuriku Yen/kWh,Kansai Yen/kWh,Chuugoku Yen/kWh,Kyushu Yen/kWh,Shikoku Yen/kWh,Sell Bid Volume kWh,Buy Bid Volume kWh,Contracted Total Volume kWh,Sell Block Bid Total Volume kWh,Sell Block Contracted Total Volume kWh,Buy Block Bid Total Volume kWh,Buy Block Contracted Total Volume kWh
2015-01-01 00:00:00,2015-01-01,1,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,2244000,1475000,551000,1222000.0,0.0,,
2015-01-01 00:30:00,2015-01-01,2,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,3029000,1557000,554000,1709500.0,0.0,,
2015-01-01 01:00:00,2015-01-01,3,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,4132000,1501500,480000,3152500.0,0.0,,
2015-01-01 01:30:00,2015-01-01,4,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,5017000,1502500,479500,3643000.0,0.0,,
2015-01-01 02:00:00,2015-01-01,5,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,6039000,1448500,526000,3807500.0,0.0,,
2015-01-01 02:30:00,2015-01-01,6,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,6092500,1447500,520500,3957500.0,0.0,,
2015-01-01 03:00:00,2015-01-01,7,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,6120500,1398500,514000,4257500.0,0.0,,
2015-01-01 03:30:00,2015-01-01,8,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,6421000,1386000,513000,4257500.0,0.0,,
2015-01-01 04:00:00,2015-01-01,9,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,6416000,1462000,589000,4257500.0,0.0,,
2015-01-01 04:30:00,2015-01-01,10,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,6416000,1375000,502000,4257500.0,0.0,,
2015-01-01 05:00:00,2015-01-01,11,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,6602500,1363000,462500,4427500.0,0.0,,
2015-01-01 05:30:00,2015-01-01,12,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,6744000,1375000,472000,4527500.0,0.0,,
2015-01-01 06:00:00,2015-01-01,13,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,6842500,1385500,391000,4627500.0,0.0,,
2015-01-01 06:30:00,2015-01-01,14,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,6975000,1408000,400500,4727500.0,0.0,,
2015-01-01 07:00:00,2015-01-01,15,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,7168500,1416500,400000,4867500.0,0.0,,
